,Ticket,Symbol,Type,Lots,Open Time,Open Price,Close Time,Close Price,Profit,Swaps,Commission,Comment,real_pnl
0,0,UNKNOWN,buy,0.1,2025-12-27T22:30:46.523,0,2025-12-27T22:30:46.523,0,0,0,-0.7,0,-0.7
1,1,UNKNOWN,buy,0.1,2025-12-27T22:30:46.523,0,2025-12-27T22:30:46.523,0,0,0,-0.7,1,-0.7
2,2,UNKNOWN,buy,0.1,2025-12-27T22:30:46.523,0,2025-12-27T22:30:46.523,0,0,0,-0.7,2,-0.7
3,3,UNKNOWN,buy,0.1,2025-12-27T22:30:46.523,0,2025-12-27T22:30:46.523,0,0,0,-0.7,3,-0.7
4,4,UNKNOWN,buy,0.1,2025-12-27T22:30:46.523,0,2025-12-27T22:30:46.523,0,0,0,-0.7,4,-0.7
